listing_id,year,make,model,variant,displacement,transmission,color,mileage,price,city,last_updated
10531512,2018,Honda,HR-V,Prestige,1800,Automatic,Silver,77500,287500000,Gambir,2022-10-17
10045664,2014,Toyota,Fortuner,G,2500,Automatic,Hitam,97500,268000000,Cinere,2022-10-17
10291182,2016,Toyota,Kijang Innova,V,2400,Automatic,Putih,87500,290000000,Cilandak,2022-10-17
10531514,2018,Mitsubishi,Pajero Sport,Dakar,2500,Automatic,Putih,32500,460000000,Ciputat,2022-10-17
10188278,2018,Mitsubishi,Pajero Sport,Dakar,2500,Automatic,Putih,37500,435000000,Cilandak,2022-10-17
10531518,2018,Toyota,Sienta,G,1500,Manual,Hitam,69520,166000000,Taman Kencana,2022-10-17
10531515,2017,Honda,Mobilio,E,1500,Automatic,Abu-abu,29000,170000000,Bekasi,2022-10-17
10531601,2015,Daihatsu,Ayla,X,1000,Manual,Hitam,27500,95000000,Daan Mogot,2022-10-17
10531624,2019,Honda,Jazz,RS,1500,Automatic,Putih,77500,260250000,Cijantung,2022-10-17
10531623,2017,Nissan,X-Trail,,2000,Automatic,Orange,57500,244000000,Kemayoran,2022-10-17
10470540,2019,Mercedes-Benz,C300,AMG,2000,Automatic,Hitam,27500,892000000,Ampera,2022-10-17
10531642,2018,Toyota,Sienta,G,1500,Automatic,Coklat,24629,177000000,Harmoni,2022-10-17
10457670,2021,80jtan,HR-V,Prestige,1800,Automatic,Hitam,10000,395000000,Sunter,2022-10-17
10531616,2018,Mitsubishi,Xpander,SPORT,1500,Automatic,Hitam,82500,206000000,Mangga Dua,2022-10-17
10531629,2015,Mazda,Biante,2.0 SKYACTIV A/T,2000,Automatic,Hitam,117500,209000000,Kelapa Gading,2022-10-17
10531660,2018,Honda,Jazz,RS,1500,Automatic,Orange,42500,246700000,Kuningan,2022-10-17
10207991,2016,Toyota,Avanza,G,1400,Manual,Putih,122500,157000000,Cipayung,2022-10-17
10531652,2021,Toyota,Raize,GR Sport,1000,Automatic,Silver,17500,232500000,Gambir,2022-10-17
10531668,2016,Toyota,Fortuner,VRZ,2400,Automatic,Hitam,67500,394000000,Cipete,2022-10-17
10531680,2014,Avanza,Avanza,G,1300,Manual,Hitam,105000,115000000,Bekasi Timur,2022-10-17
10531677,2014,Mitsubishi,Pajero Sport,Exceed,2500,Automatic,Putih,112500,246000000,Bintaro,2022-10-17
10531705,2019,Xpander,Xpander,SPORT,1500,Automatic,Hitam,61000,220000000,Bekasi Timur,2022-10-17
10531427,2014,Toyota,Agya,G,1000,Manual,Hitam,27500,94000000,Bekasi,2022-10-17
10531688,2017,Suzuki,Baleno,GL,1400,Automatic,Putih,37500,168000000,Gading Serpong,2022-10-17
10531700,2019,Suzuki,Ertiga,Sport,1500,Automatic,Abu-abu,48373,216800000,Mangga Dua,2022-10-17
10531707,2020,Toyota,Rush,TRD Sportivo,1500,Automatic,Silver,27500,249000000,Kayuringin Jaya,2022-10-17
10531706,2019,Toyota,Kijang Innova,V,2400,Automatic,Hitam,42500,370000000,BSD,2022-10-17
9538482,2018,Toyota,Fortuner,VRZ,2400,Automatic,Hitam,72500,434000000,Alam Sutera,2022-10-17
10531690,2014,Land,Defender,110,2200,Manual,Hitam,42000,2150000000,Pagedangan,2022-10-17
10531849,2018,Brio,Brio,Satya E,1200,Automatic,Putih,43000,135000000,Klender,2022-10-17
10531846,2019,Toyota,Kijang Innova,V,2400,Automatic,Hitam,47500,370000000,Bantargebang,2022-10-17
10531854,2019,Honda,Mobilio,E,1500,Automatic,Abu-abu,72500,194500000,Kemayoran,2022-10-17
